,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
95553,France,"An intensely perfumed wine that smells of a candy shop. It has tight acidity, but that is lost in the welter of white fruit flavors, allied with sweet wood. It seems at first too sweet, but then toast and acidity come in to give the wine an edgy finale.",Hauts Marconnets Premier Cru,87,60.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2009 Hauts Marconnets Premier Cru  (Savigny-lès-Beaune),Chardonnay,Chanson Père et Fils, 2009 Hauts Marconnets Premier Cru  (Savigny-lès-Beaune),2009,Mid
96291,France,"This wine is structured and concentrated with solid tannins. It has great ripe red fruits and plenty of berry flavors. It is going to be a fine wine, full of both fruit and structure as it develops. Drink from 2022.",Les Vergelesses Premier Cru,92,51.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Jaffelin 2019 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Jaffelin, 2019 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),2019,Good
96296,France,"The juiciness of this wine, made by a producer based in Savigny, is what makes it so good. It is so fruity, with the tannins really only in a supporting role. That means it will develop quickly with the typical Savigny generosity. There is an attractive sprinkling of spice at the end. Drink from 2024.",Les Goudelettes,92,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Antonin Guyon 2019 Les Goudelettes  (Savigny-lès-Beaune),Pinot Noir,Domaine Antonin Guyon, 2019 Les Goudelettes  (Savigny-lès-Beaune),2019,Good
96840,France,"This wine is structured with red fruits. It has a thin texture, a metallic character that is less pleasant. It needs more weight and richness.",Aux Gravains Premier Cru,85,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Pierre Guillemot 2018 Aux Gravains Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine Pierre Guillemot, 2018 Aux Gravains Premier Cru  (Savigny-lès-Beaune),2018,Bad
97228,France,"The Marconnets vineyard on the slopes above Savigny-lès-Beaune produces some of the most perfumed wines in the appellation. This is typical, a wonderful medley of juicy, fruity aromas. It is still young, although temptingly attractive now. Drink ideally from 2022.",Les Marconnets Premier Cru,93,56.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Roche de Bellene 2016 Les Marconnets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Roche de Bellene, 2016 Les Marconnets Premier Cru  (Savigny-lès-Beaune),2016,Good
97242,France,"Big, bold and cuddly, this wine's tannins are cushioned by the red berry fruit and attractive acidity. It has weight and a rich feeling, and the dry edge offers the possibility of aging. This small clos is exclusive to Jaffelin.",Sur les Grèves Clos Saint-Anne Premier Cru,92,57.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jaffelin 2013 Sur les Grèves Clos Saint-Anne Premier Cru  (Beaune),Pinot Noir,Jaffelin, 2013 Sur les Grèves Clos Saint-Anne Premier Cru  (Beaune),2013,Good
97244,France,"This is a closed, smoke-filled wine, and its tannins and toasty wood character currently dominate, which gives it a bitter edge. It has richness, with hints of juicy fruit that sit under the structure. Give it at least six years.",Collection,92,93.0,Burgundy,Corton,,Roger Voss,@vossroger,L. Tramier & Fils 2013 Collection  (Corton),Pinot Noir,L. Tramier & Fils, 2013 Collection  (Corton),2013,Good
97292,France,"Packed with red fruits, this wine has great potential, with attractive wild-strawberry fruits that are fresh and perfumed. Behind this fruitiness, the wine is tight and structured. It will be round, rich and ready to drink from 2023.",Coucherias Premier Cru,92,100.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Pierre Labet 2017 Coucherias Premier Cru  (Beaune),Pinot Noir,Domaine Pierre Labet, 2017 Coucherias Premier Cru  (Beaune),2017,Good
97298,France,"This is a juicy wine, packed with red fruits. It has acidity along with an edge of tannins. The attractive fruitiness suggests the wine will develop quickly. Drink from 2023.",Clos du Roi Premier Cru,91,69.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Aîné et Fils 2018 Clos du Roi Premier Cru  (Beaune),Pinot Noir,Bouchard Aîné et Fils, 2018 Clos du Roi Premier Cru  (Beaune),2018,Good
97591,France,"Always a popular vineyard, Beaune Grèves has produces a full, ripe, intense wine. It shows some signs of wood aging as well as rich strawberry and red plum. It's delicious already, but this full and complex wine deserves aging. Drink now –2025.",Les Grèves Premier Cru,92,40.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jean-Claude Boisset 2015 Les Grèves Premier Cru  (Beaune),Pinot Noir,Jean-Claude Boisset, 2015 Les Grèves Premier Cru  (Beaune),2015,Good
100524,France,"This is a very taut wine from the poorest soil in the Clos des Mouches Vineyard. This tastes of citrus fruit, with a powerful, spicy, complex finish that promises good aging.",Clos des Mouches Premier Cru,92,112.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2014 Clos des Mouches Premier Cru  (Beaune),Chardonnay,Chanson Père et Fils, 2014 Clos des Mouches Premier Cru  (Beaune),2014,Good
100533,France,"Opulent and ripe, but at the same time it shows red fruits, fresh acids and a structured core. It has a wonderful, generous finish that showcases the rich fruits and warm tannins.",Clos des Mouches Premier Cru,92,112.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2013 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2013 Clos des Mouches Premier Cru  (Beaune),2013,Good
100614,France,"Part of the domaine of the Gagey family that runs Louis Jadot, this dense, wood-dominated wine has an austere character at this stage. Ripe, potentially full of yellow and creamy white fruits, it will always have a serious side. Drink from 2022.",Le Clos Blanc Beaune Grèves Premier Cru,93,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2016 Le Clos Blanc Beaune Grèves Premier Cru  (Beaune),Chardonnay,Louis Jadot, 2016 Le Clos Blanc Beaune Grèves Premier Cru  (Beaune),2016,Good
100627,France,"This firm, dark and still young wine has intense acidity that comes from the red currant and raspberry fruit. The tannins though form the real basis of this concentrated wine. Great juicy fruits at the end will develop well. Drink from 2022.",Bressandes Premier Cru,92,72.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2016 Bressandes Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2016 Bressandes Premier Cru  (Beaune),2016,Good
100692,France,"This wine is fragrant and ripe while having a balanced, delicate structure. It offers plenty of fruit and acidity, with dusty tannins and sweet berry flavors. It should develop well and quickly. Drink from 2023.",Les Narbantons Premier Cru,89,55.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,François Buffet 2018 Les Narbantons Premier Cru  (Savigny-lès-Beaune),Pinot Noir,François Buffet, 2018 Les Narbantons Premier Cru  (Savigny-lès-Beaune),2018,Mid
100696,France,"The fruit and juicy acidity are the focus here, supported by smoky tannins. The wine will develop relatively quickly, full of fruit. Drink from 2022.",Les Vergelesses Premier Cru,89,48.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Maison Champy 2018 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Maison Champy, 2018 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),2018,Mid
101308,France,"With crushed strawberry and caramel flavors, this is relatively light wine, though elegant and pierced with acidity. Milk chocolate and soft tannins complete an attractive ensemble.",Aux Cras,89,56.0,Burgundy,Beaune,,Roger Voss,@vossroger,Camille Giroud 2012 Aux Cras  (Beaune),Pinot Noir,Camille Giroud, 2012 Aux Cras  (Beaune),2012,Mid
101862,France,"A dry wine with firm tannins over the juicy red-cherry fruits. It is structured, while likely to develop well over the next few years. The wood and fruit are both attractive at this stage.",Collection Premier Cru,89,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,L. Tramier & Fils 2011 Collection Premier Cru  (Beaune),Pinot Noir,L. Tramier & Fils, 2011 Collection Premier Cru  (Beaune),2011,Mid
101881,France,"Because strong toast aromas show through this wine, its attractive full fruit will need time to come through. The wine, with its firm, almost red-wine structure, needs to age until 2020 before drinking.",,91,60.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2015  Savigny-lès-Beaune,Chardonnay,Domaine de Bellene, 2015  Savigny-lès-Beaune,2015,Good
102131,France,"Aromas of this wine show considerable wood. On the palate, the wood is very present, giving acidity as well as layers of toast and spice. Hints of yellow fruit show through, suggesting the possibility of a ripe, rich wine in the future. Drink from 2023.",Bastion Premier Cru,90,59.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Bastion Premier Cru  (Beaune),Chardonnay,Chanson Père et Fils, 2017 Bastion Premier Cru  (Beaune),2017,Mid
102780,France,"From negociant Nicolas Potel's own vines, this wine is dense and smoky. It has spice and hints of licorice as well as rich red-cherry fruit. The tannins and the structure of the wine promise aging, so drink this concentrated wine from 2024.",Les Peuillets Premier Cru,91,70.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2018 Les Peuillets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine de Bellene, 2018 Les Peuillets Premier Cru  (Savigny-lès-Beaune),2018,Good
102786,France,"With gentle tannins and juicy red fruits this is a ripe wine that is developing fast. It is beginning to get secondary flavors: mushrooms with undergrowth aromas. The fruit is still there, of course, giving red berry and acidity. Drink this wine soon, certainly from late 2021.",Collection,91,110.0,Burgundy,Corton,,Roger Voss,@vossroger,L. Tramier & Fils 2017 Collection  (Corton),Pinot Noir,L. Tramier & Fils, 2017 Collection  (Corton),2017,Good
102794,France,Vines planted in 1947 are the source of this dark and concentrated wine. It has a strongly smoky character with dry tannins. They contrast with the potential of the red cherry and berry fruits that are ripe and juicy. The wine is developing well and should be ready to drink from 2023.,Vieilles Vignes,91,35.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Roche de Bellene 2018 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Roche de Bellene, 2018 Vieilles Vignes  (Savigny-lès-Beaune),2018,Good
103049,France,"For a wine from the 2015 vintage, this ripe wine has plenty of weight. It's in the fruity, fresh spectrum but this is sustained by a young, solid and tannic core. Full of red fruits and sweet final acidity, it's for medium-term aging.",Les Hauts Jarrons Premier Cru,90,82.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2015 Les Hauts Jarrons Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine de Bellene, 2015 Les Hauts Jarrons Premier Cru  (Savigny-lès-Beaune),2015,Mid
103898,France,"This wine is big and ripe with layers of tannins and attractive fruitiness. Bright acidity comes from the strawberry and red-cherry fruit. The drier structure is integrating well, with plenty of richness behind. The wine will develop well; drink from 2023.",Bataillière Premier Cru,91,60.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Albert Morot 2018 Bataillière Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Albert Morot, 2018 Bataillière Premier Cru  (Savigny-lès-Beaune),2018,Good
104969,France,"A powerful wine, still closed. It has great potential with delicious acidity at the same time as depth of flavor complexity. This is a wine for the long-term, so give it at least seven years.",,94,105.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Domaine Luc et Lise Pavelot 2015  Corton-Charlemagne,Chardonnay,Domaine Luc et Lise Pavelot, 2015  Corton-Charlemagne,2015,Good
105338,France,"This is soft and rounded, with attractive red plum and berry fruits that bring in acidity and a light tannic character. The wine is ripe, with a dry core surrounded by cherry flavors and fresh acidity. It is not a wine for long aging, drink from 2021.",,87,45.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Latour 2016  Beaune,Pinot Noir,Louis Latour, 2016  Beaune,2016,Mid
105639,France,"An appropriately rich wine, full, toasty and dense. The fruit is beautifully balanced with ripe acidity, just a touch of spice, citrus and an opulent, full-bodied character. It will certainly age, but is already very drinkable.",,93,80.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Maison Jessiaume 2012  Corton-Charlemagne,Chardonnay,Maison Jessiaume, 2012  Corton-Charlemagne,2012,Good
106818,France,"From old vines, as are most of the wines from this producer, this is a dense and powerful wine. New wood aging has given the wine a strongly toasty character balanced with creamy apple and yellow fruits. The wine is concentrated and obviously needs to age. Drink from 2022.",,94,300.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Roche de Bellene 2018  Corton-Charlemagne,Chardonnay,Roche de Bellene, 2018  Corton-Charlemagne,2018,Good
106825,France,"From right at the northern end of the sweep of Corton Grand Cru vineyards, this rich and complex wine is dense with smoky flavors as well as ripe blackberry fruit. It is solid, densely structured and powered minerality from the chalk in the soil. This is going to be a fine wine, so drink from 2023.",Les Grandes Lolières,94,99.0,Burgundy,Corton,,Roger Voss,@vossroger,Capitain-Gagnerot 2015 Les Grandes Lolières  (Corton),Pinot Noir,Capitain-Gagnerot, 2015 Les Grandes Lolières  (Corton),2015,Good
107187,France,"This wine is tangy and zesty, with a strong mineral texture that partners with the perfumed acidity, lively fruitiness and citrus flavors. It is likely to age well because of its tight texture. Drink from 2024.",,89,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Bouchard Aîné et Fils 2019  Savigny-lès-Beaune,Chardonnay,Bouchard Aîné et Fils, 2019  Savigny-lès-Beaune,2019,Mid
107196,France,Perfumed spice aromas give this wine its toasty character. The wood aging dominates the fruit. The fruit is ripe and will develop. Give this wine until 2024.,Clos de l'Ecu Premier Cru,89,77.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Faiveley 2019 Clos de l'Ecu Premier Cru  (Beaune),Pinot Noir,Domaine Faiveley, 2019 Clos de l'Ecu Premier Cru  (Beaune),2019,Mid
107214,France,Old vines on the Aegerter Domaine in Savigny-lès-Beaune give a rounded ripe wine. It has a crisper red-cherry side to its otherwise smooth texture. The tannins support all this juicy fruit and offer a chance for the wine to age. Drink from 2024.,Vieilles Vignes,89,47.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2019 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Jean-Luc and Paul Aegerter, 2019 Vieilles Vignes  (Savigny-lès-Beaune),2019,Mid
107216,France,This still-young wine is jammy while firmly structured with dry tannins. There is a foursquare character that misses subtlety with its broad-brush approach. The wine does need to age and will be ready to drink from 2023.,Collection Tramier,89,140.0,Burgundy,Corton,,Roger Voss,@vossroger,L. Tramier & Fils 2019 Collection Tramier  (Corton),Pinot Noir,L. Tramier & Fils, 2019 Collection Tramier  (Corton),2019,Mid
108993,France,"This firm wine still needs to shed its youthful structure of tannin and bring out the underlying ripe fruits. It has weight, hints of juicy acidity and a medium-term potential. The end shows some of the natural concentration from old vines.",Vieilles Vignes,88,52.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2016 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Jean-Luc and Paul Aegerter, 2016 Vieilles Vignes  (Savigny-lès-Beaune),2016,Mid
109039,France,"A firm, powerful wine, its tannins still very dominant. Acidity is a factor, along with deep red-plum fruit. Some sweetness will develop in the next several years, although this concentrated and complex wine will also have a solid core of dry, structured tannin. Age for at least five years.",Château Corton Grancey,93,130.0,Burgundy,Corton,,Roger Voss,@vossroger,Louis Latour 2014 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour, 2014 Château Corton Grancey  (Corton),2014,Good
109053,France,"This is grandiose, with ripe apricot and peach flavors—even a note of mango—that are allied to the wood notes. As a contrast, there is fine acidity and elegance, with a lemon zest edge that gives structure to this full, superripe, powerful effort.",,93,125.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Henri de Villamont 2013  Corton-Charlemagne,Chardonnay,Henri de Villamont, 2013  Corton-Charlemagne,2013,Good
109059,France,"This is dark and wood laden, with sweet, rich fruit and a firm, dense structure. It has a full feel, and its opulence is likely to develop over the next 2–3 years.",Clos des Fèves Premier Cru,93,107.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2013 Clos des Fèves Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2013 Clos des Fèves Premier Cru  (Beaune),2013,Good
110442,France,"While Savigny is better known for its red wines, its whites have a rich, soft character that makes them accessible when young. This wine, from 40-year-old vines and aged lightly in wood, is structured, mineral and full of crisp green and white fruits. Drink from 2020.",,88,58.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2016  Savigny-lès-Beaune,Chardonnay,Domaine de Bellene, 2016  Savigny-lès-Beaune,2016,Mid
110690,France,"Strongly wood-aged, this is a ripe, toasty wine. The citrus and creamed apple fruits are still working their way through the wood flavors. It's going to be richly fruity wine with a round texture that is cut by acidity. Give it time and drink from 2022.",Clos des Guettes Premier Cru,90,54.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Louis Jadot 2016 Clos des Guettes Premier Cru  (Savigny-lès-Beaune),Chardonnay,Louis Jadot, 2016 Clos des Guettes Premier Cru  (Savigny-lès-Beaune),2016,Mid
111241,France,"Juicy red fruits are the veneer on a wine that is structured and complex, full of tight tannins, intense acidity and the promise of a long-term future. The dry center of the wine holds the exuberant fruit flavors together, while the aftertaste is all freshness.",Corton les Renardes Grand Cru,93,140.0,Burgundy,Corton,,Roger Voss,@vossroger,Pierre André 2011 Corton les Renardes Grand Cru  (Corton),Pinot Noir,Pierre André, 2011 Corton les Renardes Grand Cru  (Corton),2011,Good
113066,France,"Crisp, juicy and fruity, this is a wine that has red-currant flavors under the tannic structure. It is a delicious wine that is light, fruity and likely to age quickly. Drink from 2023.",Les Sizies Premier Cru,92,150.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Pascal Prunier-Bonheur 2019 Les Sizies Premier Cru  (Beaune),Pinot Noir,Domaine Pascal Prunier-Bonheur, 2019 Les Sizies Premier Cru  (Beaune),2019,Good
113572,France,"A complete wine that speaks of both richness and terroir. While the tannins are certainly there, they are dominated by rich black fruits, ripeness, power and concentration. It is the sort of wine that reveals many layers of flavor and complexity. Age for five years.",Clos des Fèves Premier Cru,94,85.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2009 Clos des Fèves Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2009 Clos des Fèves Premier Cru  (Beaune),2009,Good
114989,France,"Close to the village of Aloxe-Corton, this vineyard is one of the smallest of the Corton grand crus. This wine, still fresh while also closed up with tannins, is dark, structured and has the potential to age many years. Intense red-berry acidity and a tight, dry core still convey youthfulness. Drink this impressive wine from 2022.",Clos des Fietres,94,140.0,Burgundy,Corton,,Roger Voss,@vossroger,Au Pied du Mont Chauve 2017 Clos des Fietres  (Corton),Pinot Noir,Au Pied du Mont Chauve, 2017 Clos des Fietres  (Corton),2017,Good
115003,France,The initial impression is of toast and spice. Only slowly do the fruit and full-bodied richness of this wine become apparent. It comes from a Grand Cru close to Corton-Charlemagne and has similar structure and power. The wine will develop slowly and richly. Drink it from 2024.,,93,104.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Maillard 2017  Corton,Pinot Noir,Domaine Maillard, 2017  Corton,2017,Good
115181,France,"Floral and round, this pushes its red berry flavors forward. It's so elegant and perfumed, with an attractive structure and acidity. Ready to drink in a few months.",Clos de Godeaux Premier Cru,90,35.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2014 Clos de Godeaux Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Joseph Drouhin, 2014 Clos de Godeaux Premier Cru  (Savigny-lès-Beaune),2014,Mid
115371,France,"Typically soft and ripe, this is already a delicious, fruity wine. It is strongly perfumed and has the acidity typical of the vintage. Ripe red fruits and acidity are well balanced, with dry tannins that are still in the background. Drink the wine from 2022.",,88,25.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Labouré-Roi 2018  Savigny-lès-Beaune,Pinot Noir,Labouré-Roi, 2018  Savigny-lès-Beaune,2018,Mid
115566,France,"Still young, this is a wine that needs to open and ripen. But already there are signs of richness, a wood- and tropical fruit-flavored wine that is typical of the full character of a Corton Charlemagne. It would be worth keeping 2–3 years for the wood to soften, the fruit to round out.",,93,189.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Bertrand Ambroise 2010  Corton-Charlemagne,Chardonnay,Bertrand Ambroise, 2010  Corton-Charlemagne,2010,Good
115571,France,"Showing the typical power of Corton-Charlemagne, this is a classic wine that offers full-on fruit allied to a strong wood element. It is rich and bold, flavored with white fruits, apricots, almonds and spice. While it is drinkable now, it would certainly repay cellaring for 3–4 years.",,93,130.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Maison Champy 2010  Corton-Charlemagne,Chardonnay,Maison Champy, 2010  Corton-Charlemagne,2010,Good
115971,France,"Raspberry ripeness and soft tannins lend warmth to this structured wine. It has weight and a smoky wood character, with a juicy finish. Age for 2–3 years.",Domaine de la Créa Les Cent Vignes Premier Cru,88,41.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Max 2013 Domaine de la Créa Les Cent Vignes Premier Cru  (Beaune),Pinot Noir,Louis Max, 2013 Domaine de la Créa Les Cent Vignes Premier Cru  (Beaune),2013,Mid
116721,France,"Savigny-lès-Beaune, better known for its reds, also makes small quantities of white. From a three-acre parcel, this wine is ripe and tangy with orange peel and mineral acidity. It is a wine that is aging fast and that will be ready to drink from late 2021.",,89,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2018  Savigny-lès-Beaune,Chardonnay,Domaine de Bellene, 2018  Savigny-lès-Beaune,2018,Mid
117099,France,"This is a firm wine, full of tannins as well as plenty of ripe berries. It is concentrated, juicy and perfumed, an attractive wine already. The dry core gives structure to this panoply of fruitiness. The name comes from French king Louis XI who acquired the vineyard in the 15th century.",Clos du Roi Premier Cru,93,68.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Clos du Roi Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2017 Clos du Roi Premier Cru  (Beaune),2017,Good
117101,France,"Rich in character, this is a dense wine, with smoky tannins and juicy red fruits that are deliciously ripe. The tannins and the fruit concentration result in a weighty yet brightly acidic wine. It will develop quickly, and then remain at a peak for many years. Drink from 2022.",Teurons Premier Cru,93,69.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Teurons Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2017 Teurons Premier Cru  (Beaune),2017,Good
117734,France,"This has firm tannins, and it demonstrates the potential of its juicy fruit flavors. With its powerful structure, this is a slowly developing selection that needs at least five years in a cellar.",Sur les Grèves Clos Saint-Anne Premier Cru,91,57.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jaffelin 2014 Sur les Grèves Clos Saint-Anne Premier Cru  (Beaune),Pinot Noir,Jaffelin, 2014 Sur les Grèves Clos Saint-Anne Premier Cru  (Beaune),2014,Good
117750,France,"Perfumed, rich yet soft, this is opulent Beaune at its best. It has acidity and a touch of tannin, but it's the broad, ripe red-fruit flavors that dominate, which gives juiciness and vitality to this wine that will age for several years.",Theurons Premier Cru,91,70.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2014 Theurons Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2014 Theurons Premier Cru  (Beaune),2014,Good
118700,France,"Firm and tense, this is a wine on the high wire. The tannins are stretched with acidity, the berry fruits and red cherry flavors vividly standing out against this structure. The aftertaste is fine, poised, mineral. This is developing into an important wine.",Marconnets Premier Cru,92,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2010 Marconnets Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2010 Marconnets Premier Cru  (Beaune),2010,Good
118703,France,"In its early stages of evolution, this wine offers mainly stoniness, firm acidity and a hard- edged structure. Of course it will soften, but this will likely remain a tannic wine, the fruit always edged with acidity, for many years. It is potentially a great wine that just needs patience.",,92,96.0,Burgundy,Corton,,Roger Voss,@vossroger,Maison Champy 2010  Corton,Pinot Noir,Maison Champy, 2010  Corton,2010,Good
119056,France,"Soft and ripe wine, with gentle tannins and fresh acidity. There is an edge of bitterness that comes between the fruit and the structure.",Vignes Franches Premier Cru,88,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Latour 2012 Vignes Franches Premier Cru  (Beaune),Pinot Noir,Louis Latour, 2012 Vignes Franches Premier Cru  (Beaune),2012,Mid
119269,France,"This is ripe and jammy, with soft fruit and attractive acidity. It is warm, with a hint of wood aging. Ready to drink.",Premier Cru,87,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,L. Tramier & Fils 2013 Premier Cru  (Beaune),Pinot Noir,L. Tramier & Fils, 2013 Premier Cru  (Beaune),2013,Mid
119518,France,"In this smooth wine, toasty flavors mingle easily with the ripe yellow fruits. It offers minerality as well as juicy citrus flavors, making for a rich wine that needs to age. Drink from 2021.",Les Clos des Mouches Premier Cru,92,68.0,Burgundy,Beaune,,Roger Voss,@vossroger,Seguin-Manuel 2019 Les Clos des Mouches Premier Cru  (Beaune),Chardonnay,Seguin-Manuel, 2019 Les Clos des Mouches Premier Cru  (Beaune),2019,Good
119788,France,"This smoky wine is showing its wood, with spice and toasty flavors over the red fruits. The wine will balance out to become open and fruity. Drink from 2023.",Belissand Premier Cru,90,49.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2018 Belissand Premier Cru  (Beaune),Pinot Noir,Jean-Luc and Paul Aegerter, 2018 Belissand Premier Cru  (Beaune),2018,Mid
120069,France,"Properly opulent, this is a generous, subtly wood-aged wine. Ripe apricot and peach fruits are shot through with crisp apple. The wood and the rich fruits give this structured wine a warm character. It is still young, of course. Drink from 2023.",Domaine du Pavillon,94,194.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Albert Bichot 2019 Domaine du Pavillon  (Corton-Charlemagne),Chardonnay,Albert Bichot, 2019 Domaine du Pavillon  (Corton-Charlemagne),2019,Good
120070,France,"This is a smooth-texture wine with a great future. It has acidity, ripe tannins, generous fruit and balance. As the wine develops, the rich red-berry fruit will show strongly. The wine is concentrated, with a solid base. Drink from 2025.",Les Algrots Premier Cru,94,45.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2019 Les Algrots Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2019 Les Algrots Premier Cru  (Beaune),2019,Good
120071,France,"This structured firm wine is full of tannins as well as ripe fruit. It is concentrated, showing smoky wood flavors as well as plenty of red berries. The wine will develop slowly, with the rich fruits coming through to give a generous wine. Drink from 2024.",Les Teurons Premier Cru,94,45.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2019 Les Teurons Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2019 Les Teurons Premier Cru  (Beaune),2019,Good
120083,France,"A structured wine that is also full of ripe fruit. Its red-berry fruits are encased in the tannins that still need to soften. The wine will be generous, full of berry flavors and with a dense texture. Drink this big wine from 2024.",Les Grèves Premier Cru,94,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jean-Claude Boisset 2019 Les Grèves Premier Cru  (Beaune),Pinot Noir,Jean-Claude Boisset, 2019 Les Grèves Premier Cru  (Beaune),2019,Good
120085,France,"The wine is beautiful—ripe with generous red fruits and with balanced acidity. It has concentration, juicy acidity and a smoky background. This is going to be an opulent wine, rich in tannins and in fruit. Drink from 2022.",Les Toussaints Premier Cru,94,45.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2019 Les Toussaints Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2019 Les Toussaints Premier Cru  (Beaune),2019,Good
